VM 2026 – konkurranse,,,,,,,
"Tippeark basert på EM 2024-oppsettet – tilpassa VM 2026 med 48 lag, 12 grupper og 104 kampar.",,,,,,,
,,,,,,,
"Gruppespel: 5p rett utfall (H/U/B), 25p rett teikn + rett resultat. Straffekonk tel ikkje.",,,,,,,
,,,,,,,
Dato,Gruppe,Heimelag,Bortelag,Stadion,Tips H,Tips B,Tips teikn
2026-06-11,Group A,Mexico,South Africa,Mexico City Stadium,2,0,H
2026-06-11,Group A,Korea Republic,Czechia,Estadio Guadalajara,2,1,H
2026-06-18,Group A,Czechia,South Africa,Atlanta Stadium,1,1,U
2026-06-18,Group A,Mexico,Korea Republic,Estadio Guadalajara,1,0,H
2026-06-24,Group A,Czechia,Mexico,Mexico City Stadium,0,3,B
2026-06-24,Group A,South Africa,Korea Republic,Estadio Monterrey,1,0,H
2026-06-12,Group B,Canada,Bosnia and Herzegovina,Toronto Stadium,1,1,U
2026-06-13,Group B,Qatar,Switzerland,San Francisco Bay Area Stadium,1,1,U
2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,4,1,H
2026-06-18,Group B,Canada,Qatar,BC Place Vancouver,6,0,H
2026-06-24,Group B,Switzerland,Canada,BC Place Vancouver,2,1,H
2026-06-24,Group B,Bosnia and Herzegovina,Qatar,Seattle Stadium,3,1,H
2026-06-13,Group C,Haiti,Scotland,Boston Stadium,0,1,B
2026-06-13,Group C,Brazil,Morocco,New York New Jersey Stadium,1,1,U
2026-06-19,Group C,Brazil,Haiti,Philadelphia Stadium,3,0,H
2026-06-19,Group C,Scotland,Morocco,Boston Stadium,0,1,B
2026-06-24,Group C,Scotland,Brazil,Miami Stadium,0,3,B
2026-06-24,Group C,Morocco,Haiti,Atlanta Stadium,4,2,H
2026-06-12,Group D,USA,Paraguay,Los Angeles Stadium,4,1,H
2026-06-13,Group D,Australia,Türkiye,BC Place Vancouver,2,0,H
2026-06-19,Group D,Türkiye,Paraguay,San Francisco Bay Area Stadium,0,1,B
2026-06-19,Group D,USA,Australia,Seattle Stadium,2,0,H
2026-06-25,Group D,Türkiye,USA,Los Angeles Stadium,3,2,H
2026-06-25,Group D,Paraguay,Australia,San Francisco Bay Area Stadium,0,0,U
2026-06-14,Group E,Côte d'Ivoire,Ecuador,Philadelphia Stadium,1,0,H
2026-06-14,Group E,Germany,Curaçao,Houston Stadium,7,1,H
2026-06-20,Group E,Germany,Côte d'Ivoire,Toronto Stadium,2,1,H
2026-06-20,Group E,Ecuador,Curaçao,Kansas City Stadium,0,0,U
2026-06-25,Group E,Curaçao,Côte d'Ivoire,Philadelphia Stadium,0,2,B
2026-06-25,Group E,Ecuador,Germany,New York New Jersey Stadium,2,1,H
2026-06-14,Group F,Netherlands,Japan,Dallas Stadium,2,2,U
2026-06-14,Group F,Sweden,Tunisia,Estadio Monterrey,5,1,H
